symbol,n_trades,n_long,n_short,agent_total_return,buy_hold_return,excess_return,sharpe_annual,win_rate,max_drawdown
GOOGL,99,57,42,-0.5104279524856095,13.0336470477322,-13.54407500021781,-0.8982287651093863,0.3434343434343434,0.7390392141185728
XOM,87,45,42,-0.08811871413336225,1.6234763470017382,-1.7115950611351005,0.17730600621258252,0.3563218390804598,0.5568028927284742
JNJ,99,50,49,-0.5689834575665299,2.058300781064007,-2.6272842386305366,-2.715865776077456,0.31313131313131315,0.6217844575285645
