symbol,n_trades,n_long,n_short,agent_total_return,buy_hold_return,excess_return,sharpe_annual,win_rate,max_drawdown
GOOGL,26,26,0,0.9050540878673718,13.0336470477322,-12.128592959864829,4.423629964083788,0.5769230769230769,0.3011834434516174
XOM,20,20,0,0.8654916473380492,1.6234763470017382,-0.757984699663689,4.156036572001009,0.45,0.19096308725566008
JNJ,26,26,0,0.31236082513823415,2.058300781064007,-1.7459399559257727,2.528811741288041,0.46153846153846156,0.29252059811513476
