symbol,n_trades,n_long,n_short,agent_total_return,buy_hold_return,excess_return,sharpe_annual,win_rate,max_drawdown
GOOGL,18,18,0,-0.019991299955838482,13.0336470477322,-13.05363834768804,0.12211949063535804,0.3888888888888889,0.18879290592365935
XOM,22,22,0,-0.08218391321097474,1.6234763470017382,-1.7056602602127129,-0.7509592478659582,0.36363636363636365,0.19023388497688892
JNJ,18,18,0,0.20095607631890022,2.058300781064007,-1.8573447047451066,2.75935600587326,0.4444444444444444,0.0871375975783208
