symbol,n_trades,n_long,n_short,agent_total_return,buy_hold_return,excess_return,sharpe_annual,win_rate,max_drawdown
GOOGL,99,57,42,-0.6790793605375562,13.0336470477322,-13.712726408269758,-1.6486211214586708,0.31313131313131315,0.7815185797546393
XOM,87,45,42,0.12761194955029453,1.6234763470017382,-1.4958643974514436,0.8188456291353304,0.3333333333333333,0.534297843248588
JNJ,99,50,49,-0.5105526073232856,2.058300781064007,-2.5688533883872924,-1.9266956103668733,0.3434343434343434,0.640180179513096
