symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
JNJ,2015-01-05,-1,2015-01-05,76.0818,2015-02-26,74.3411,regime,1.0,36,0.02288,0.00283,0.02005,regime
JNJ,2015-02-27,1,2015-02-27,75.5584,2015-03-11,73.2045,regime,1.0,8,-0.03115,0.0014,-0.03255,regime
JNJ,2015-05-15,1,2015-05-15,74.7811,2015-06-01,74.0707,regime,1.0,10,-0.0095,0.0014,-0.0109,regime
JNJ,2015-06-09,-1,2015-06-09,72.7117,2015-07-14,73.3173,regime,1.0,24,-0.00833,0.00235,-0.01068,regime
JNJ,2015-07-17,1,2015-07-17,74.5213,2015-07-28,73.044,regime,1.0,7,-0.01982,0.0014,-0.02122,regime
JNJ,2015-08-24,-1,2015-08-24,67.7899,2015-10-06,70.3503,regime,1.0,30,-0.03777,0.00259,-0.04036,regime
JNJ,2015-10-16,1,2015-10-16,72.8436,2015-11-16,74.7118,regime,1.0,21,0.02565,0.0014,0.02425,regime
JNJ,2015-11-19,1,2015-11-19,76.4088,2016-01-05,75.4125,regime,1.0,30,-0.01304,0.0014,-0.01444,regime
JNJ,2016-01-08,-1,2016-01-08,74.8877,2016-01-27,75.3451,regime,1.0,12,-0.00611,0.00188,-0.00798,regime
JNJ,2016-02-01,1,2016-02-01,77.6843,2016-08-04,94.4972,regime,1.0,129,0.21643,0.0014,0.21503,regime
JNJ,2016-08-16,-1,2016-08-16,92.8771,2016-10-11,91.4294,regime,1.0,39,0.01559,0.00295,0.01264,regime
JNJ,2016-10-19,-1,2016-10-19,88.4892,2016-11-08,89.186,regime,1.0,14,-0.00787,0.00196,-0.00983,regime
JNJ,2016-11-10,1,2016-11-10,92.4707,2016-11-23,86.5411,regime,1.0,9,-0.06412,0.0014,-0.06552,regime
JNJ,2016-12-01,-1,2016-12-01,85.8549,2016-12-13,89.0698,regime,1.0,8,-0.03745,0.00172,-0.03916,regime
JNJ,2017-01-25,-1,2017-01-25,86.2944,2017-02-10,88.137,regime,1.0,12,-0.02135,0.00188,-0.02323,regime
JNJ,2017-02-13,1,2017-02-13,88.8771,2017-03-27,97.1328,regime,1.0,29,0.09289,0.0014,0.09149,regime
JNJ,2017-04-19,-1,2017-04-19,94.758,2017-05-16,98.8246,regime,1.0,19,-0.04292,0.00215,-0.04507,regime
JNJ,2017-05-16,1,2017-05-16,98.8246,2017-07-03,103.7376,regime,1.0,33,0.04971,0.0014,0.04831,regime
JNJ,2017-07-12,-1,2017-07-12,103.1516,2017-07-19,105.3391,regime,1.0,5,-0.02121,0.0016,-0.0228,regime
JNJ,2017-09-06,-1,2017-09-06,102.6285,2017-09-12,105.2151,regime,1.0,4,-0.0252,0.00156,-0.02676,regime
JNJ,2017-09-15,1,2017-09-15,105.9698,2017-09-28,102.1333,regime,1.0,9,-0.0362,0.0014,-0.0376,regime
JNJ,2017-10-12,1,2017-10-12,107.1884,2017-11-20,108.6114,regime,1.0,27,0.01328,0.0014,0.01188,regime
JNJ,2017-11-20,-1,2017-11-20,108.6114,2017-11-29,110.9139,regime,1.0,6,-0.0212,0.00164,-0.02284,regime
JNJ,2017-12-13,1,2017-12-13,112.7174,2018-01-03,110.2336,regime,1.0,13,-0.02204,0.0014,-0.02344,regime
JNJ,2018-01-10,1,2018-01-10,113.548,2018-02-01,108.7861,regime,1.0,15,-0.04194,0.0014,-0.04334,regime
JNJ,2018-02-01,-1,2018-02-01,108.7861,2018-03-12,106.5134,regime,1.0,26,0.02089,0.00243,0.01846,regime
JNJ,2018-03-12,1,2018-03-12,106.5134,2018-03-23,101.6017,regime,1.0,9,-0.04611,0.0014,-0.04751,regime
JNJ,2018-03-26,-1,2018-03-26,100.6305,2018-04-17,105.1681,regime,1.0,15,-0.04509,0.002,-0.04709,regime
JNJ,2018-05-03,-1,2018-05-03,98.1547,2018-06-08,98.9308,regime,1.0,25,-0.00791,0.00239,-0.0103,regime
JNJ,2018-07-06,1,2018-07-06,100.3743,2018-08-14,103.9912,regime,1.0,27,0.03603,0.0014,0.03463,regime
JNJ,2018-08-20,1,2018-08-20,108.2096,2018-09-27,111.7725,regime,1.0,27,0.03293,0.0014,0.03153,regime
JNJ,2018-10-12,-1,2018-10-12,108.5028,2018-10-31,113.8311,regime,1.0,13,-0.04911,0.00192,-0.05102,regime
JNJ,2018-11-06,1,2018-11-06,114.259,2018-11-23,114.5173,regime,1.0,12,0.00226,0.0014,0.00086,regime
JNJ,2018-12-17,-1,2018-12-17,104.2541,2019-01-22,104.1566,regime,1.0,23,0.00094,0.00231,-0.00138,regime
JNJ,2019-01-31,1,2019-01-31,106.9433,2019-03-26,111.9871,regime,1.0,37,0.04716,0.0014,0.04576,regime
JNJ,2019-04-05,-1,2019-04-05,111.2592,2019-05-01,115.2749,regime,1.0,17,-0.03609,0.00207,-0.03817,regime
JNJ,2019-05-01,1,2019-05-01,115.2749,2019-05-30,108.2327,regime,1.0,20,-0.06109,0.0014,-0.06249,regime
JNJ,2019-05-30,-1,2019-05-30,108.2327,2019-06-13,116.6977,regime,1.0,10,-0.07821,0.0018,-0.08001,regime
JNJ,2019-06-13,1,2019-06-13,116.6977,2019-07-15,111.4853,regime,1.0,21,-0.04467,0.0014,-0.04607,regime
JNJ,2019-07-15,-1,2019-07-15,111.4853,2019-08-14,109.1303,regime,1.0,22,0.02112,0.00227,0.01885,regime
JNJ,2019-08-26,-1,2019-08-26,105.7087,2019-10-17,112.7936,regime,1.0,37,-0.06702,0.00287,-0.06989,regime
JNJ,2019-10-17,1,2019-10-17,112.7936,2019-10-21,106.7457,regime,1.0,2,-0.05362,0.0014,-0.05502,regime
JNJ,2019-11-18,1,2019-11-18,111.3501,2020-02-19,124.6435,regime,1.0,62,0.11938,0.0014,0.11798,regime
JNJ,2020-02-25,-1,2020-02-25,122.7314,2020-04-07,117.5779,regime,1.0,30,0.04199,0.00259,0.0394,regime
JNJ,2020-04-09,1,2020-04-09,121.0668,2020-06-12,120.9156,regime,1.0,44,-0.00125,0.0014,-0.00265,regime
JNJ,2020-06-12,-1,2020-06-12,120.9156,2020-07-14,123.0149,regime,1.0,21,-0.01736,0.00223,-0.0196,regime
JNJ,2020-07-15,1,2020-07-15,126.748,2020-07-30,124.8095,regime,1.0,11,-0.01529,0.0014,-0.01669,regime
JNJ,2020-08-24,1,2020-08-24,130.1566,2020-09-22,123.2969,regime,1.0,20,-0.0527,0.0014,-0.0541,regime
JNJ,2020-09-22,-1,2020-09-22,123.2969,2020-10-12,129.1852,regime,1.0,14,-0.04776,0.00196,-0.04971,regime
JNJ,2020-10-12,1,2020-10-12,129.1852,2020-10-20,123.2713,regime,1.0,6,-0.04578,0.0014,-0.04718,regime
JNJ,2020-10-29,-1,2020-10-29,117.596,2020-11-10,125.4783,regime,1.0,8,-0.06703,0.00172,-0.06875,regime
JNJ,2020-11-16,1,2020-11-16,128.6057,2020-11-24,123.5615,regime,1.0,6,-0.03922,0.0014,-0.04062,regime
JNJ,2020-12-07,1,2020-12-07,128.1522,2021-02-23,139.4246,regime,1.0,52,0.08796,0.0014,0.08656,regime
JNJ,2021-03-01,-1,2021-03-01,139.3986,2021-03-17,138.8634,regime,1.0,12,0.00384,0.00188,0.00196,regime
JNJ,2021-03-29,1,2021-03-29,141.4536,2021-04-14,136.2731,regime,1.0,11,-0.03662,0.0014,-0.03802,regime
JNJ,2021-05-10,1,2021-05-10,146.6945,2021-06-02,143.6133,regime,1.0,16,-0.021,0.0014,-0.0224,regime
JNJ,2021-06-08,-1,2021-06-08,143.5959,2021-07-02,144.2388,regime,1.0,18,-0.00448,0.00211,-0.00659,regime
JNJ,2021-07-06,1,2021-07-06,145.8808,2021-08-30,151.0127,regime,1.0,39,0.03518,0.0014,0.03378,regime
JNJ,2021-09-10,-1,2021-09-10,147.307,2021-10-20,143.313,regime,1.0,28,0.02711,0.00251,0.0246,regime
JNJ,2021-10-27,1,2021-10-27,144.7987,2021-11-23,140.3283,regime,1.0,19,-0.03087,0.0014,-0.03227,regime
JNJ,2021-12-01,-1,2021-12-01,138.0059,2021-12-07,144.2693,regime,1.0,4,-0.04539,0.00156,-0.04694,regime
JNJ,2021-12-14,1,2021-12-14,148.0784,2022-01-18,146.9964,regime,1.0,23,-0.00731,0.0014,-0.00871,regime
JNJ,2022-01-21,-1,2022-01-21,146.1958,2022-01-28,150.304,regime,1.0,5,-0.0281,0.0016,-0.0297,regime
JNJ,2022-02-25,-1,2022-02-25,141.6541,2022-03-04,148.4181,regime,1.0,5,-0.04775,0.0016,-0.04935,regime
JNJ,2022-03-08,1,2022-03-08,152.3135,2022-05-06,155.0581,regime,1.0,42,0.01802,0.0014,0.01662,regime
JNJ,2022-05-20,-1,2022-05-20,154.8013,2022-05-24,159.7166,regime,1.0,2,-0.03175,0.00148,-0.03323,regime
JNJ,2022-06-15,-1,2022-06-15,151.1538,2022-06-24,161.0798,regime,1.0,6,-0.06567,0.00164,-0.06731,regime
JNJ,2022-06-27,1,2022-06-27,161.8461,2022-07-20,153.4349,regime,1.0,16,-0.05197,0.0014,-0.05337,regime
JNJ,2022-08-12,-1,2022-08-12,149.2826,2022-09-19,149.1734,regime,1.0,25,0.00073,0.00239,-0.00166,regime
JNJ,2022-10-10,-1,2022-10-10,144.0873,2022-10-18,148.0073,regime,1.0,6,-0.02721,0.00164,-0.02884,regime
JNJ,2022-10-24,1,2022-10-24,152.3219,2023-01-11,158.5052,regime,1.0,54,0.04059,0.0014,0.03919,regime
JNJ,2023-01-19,-1,2023-01-19,152.6009,2023-04-03,140.8956,regime,1.0,51,0.07671,0.00342,0.07328,regime
JNJ,2023-04-04,1,2023-04-04,142.7324,2023-05-10,146.5787,regime,1.0,25,0.02695,0.0014,0.02555,regime
JNJ,2023-05-26,-1,2023-05-26,141.7204,2023-06-09,146.97,regime,1.0,9,-0.03704,0.00176,-0.0388,regime
JNJ,2023-06-14,1,2023-06-14,148.0511,2023-07-10,146.063,regime,1.0,16,-0.01343,0.0014,-0.01483,regime
JNJ,2023-07-12,-1,2023-07-12,145.6141,2023-07-21,154.0794,regime,1.0,7,-0.05814,0.00168,-0.05981,regime
JNJ,2023-07-21,1,2023-07-21,154.0794,2023-08-22,152.87,regime,1.0,22,-0.00785,0.0014,-0.00925,regime
JNJ,2023-08-24,-1,2023-08-24,150.2773,2023-11-22,141.0461,regime,1.0,63,0.06143,0.0039,0.05753,regime
JNJ,2023-11-27,1,2023-11-27,141.66,2024-02-05,145.6785,regime,1.0,47,0.02837,0.0014,0.02697,regime
JNJ,2024-02-05,-1,2024-02-05,145.6785,2024-02-22,149.0059,regime,1.0,12,-0.02284,0.00188,-0.02472,regime
JNJ,2024-02-23,1,2024-02-23,150.7867,2024-03-18,148.6217,regime,1.0,16,-0.01436,0.0014,-0.01576,regime
JNJ,2024-03-20,-1,2024-03-20,145.9317,2024-05-02,142.5013,regime,1.0,30,0.02351,0.00259,0.02092,regime
JNJ,2024-05-16,1,2024-05-16,143.4011,2024-05-28,138.6928,regime,1.0,7,-0.03283,0.0014,-0.03423,regime
JNJ,2024-07-17,1,2024-07-17,143.1902,2024-09-26,152.5501,regime,1.0,50,0.06537,0.0014,0.06397,regime
JNJ,2024-09-26,-1,2024-09-26,152.5501,2024-10-16,156.1296,regime,1.0,14,-0.02346,0.00196,-0.02542,regime
JNJ,2024-11-05,-1,2024-11-05,150.1034,2025-01-17,141.4906,regime,1.0,49,0.05738,0.00334,0.05403,regime
JNJ,2025-01-17,1,2025-01-17,141.4906,2025-03-26,155.9433,regime,1.0,46,0.10215,0.0014,0.10075,regime
JNJ,2025-03-26,-1,2025-03-26,155.9433,2025-04-01,155.479,regime,1.0,4,0.00298,0.00156,0.00142,regime
JNJ,2025-04-02,-1,2025-04-02,148.9785,2025-06-02,150.7142,regime,1.0,41,-0.01165,0.00303,-0.01468,regime
JNJ,2025-06-11,1,2025-06-11,152.4899,2025-06-18,148.8508,regime,1.0,5,-0.02386,0.0014,-0.02526,regime
JNJ,2025-06-23,-1,2025-06-23,146.0898,2025-07-17,159.2022,regime,1.0,17,-0.08976,0.00207,-0.09183,regime
JNJ,2025-07-17,1,2025-07-17,159.2022,2025-09-19,171.6826,regime,1.0,45,0.07839,0.0014,0.07699,regime
JNJ,2025-09-19,-1,2025-09-19,171.6826,2025-09-29,176.7341,regime,1.0,6,-0.02942,0.00164,-0.03106,regime
JNJ,2025-09-29,1,2025-09-29,176.7341,2025-10-30,183.8592,regime,1.0,23,0.04032,0.0014,0.03892,regime
JNJ,2025-11-18,1,2025-11-18,195.5839,2025-12-10,198.3883,regime,1.0,15,0.01434,0.0014,0.01294,regime
JNJ,2025-12-12,1,2025-12-12,207.972,2026-03-23,236.0425,regime,1.0,67,0.13497,0.0014,0.13357,regime
JNJ,2026-03-23,-1,2026-03-23,236.0425,2026-04-01,244.1956,regime,1.0,7,-0.03454,0.00168,-0.03622,regime
JNJ,2026-04-21,-1,2026-04-21,228.0385,2026-05-26,233.0,regime,1.0,24,-0.02176,0.00235,-0.02411,regime
JNJ,2026-05-26,1,2026-05-26,233.0,2026-06-02,222.58,regime,1.0,5,-0.04472,0.0014,-0.04612,regime
