symbol,n_trades,n_long,n_short,agent_total_return,buy_hold_return,excess_return,sharpe_annual,win_rate,max_drawdown
GOOGL,57,57,0,0.7335813221812193,13.0336470477322,-12.300065725550981,2.3745601630185167,0.45614035087719296,0.38794130422435497
XOM,45,45,0,0.5149133581223779,1.6234763470017382,-1.1085629888793602,2.6213113155797,0.4,0.2897766904735212
JNJ,50,50,0,0.1278350878986103,2.058300781064007,-1.9304656931653965,1.1211367543708937,0.4,0.23740360634941785
