symbol,n_trades,n_long,n_short,agent_total_return,buy_hold_return,excess_return,sharpe_annual,win_rate,max_drawdown
GOOGL,36,18,18,-0.422476497071701,13.0336470477322,-13.456123544803901,-3.6627389400350485,0.3611111111111111,0.5159931560298789
XOM,44,22,22,-0.2993851024641926,1.6234763470017382,-1.9228614494659308,-1.8041255193028116,0.3181818181818182,0.41058510666397174
JNJ,36,18,18,-0.1574663070820035,2.058300781064007,-2.21576708814601,-0.8881484004477017,0.3611111111111111,0.30321539220028654
