strategy,direction,exit,symbol,n_trades,total_return,buy_hold,excess_return,sharpe,win_rate,avg_pnl_pct,max_dd,n_long,n_short
donchian_20_10,long_flat,regime,GOOGL,57,0.38705717605438705,13.0336470477322,-12.646589871677813,1.6663975873077488,0.43859649122807015,0.009527894736842107,0.4020534365466941,57,0
donchian_20_10,long_flat,regime,XOM,45,0.7801327954058697,1.6234763470017382,-0.8433435515958685,3.1455937914815664,0.35555555555555557,0.015629333333333335,0.231771950627857,45,0
donchian_20_10,long_flat,regime,JNJ,50,0.3197936009024669,2.058300781064007,-1.73850718016154,1.9556821157866253,0.44,0.007119399999999999,0.24367114334674847,50,0
donchian_20_10,long_flat,trailing,GOOGL,57,0.7335813221812193,13.0336470477322,-12.300065725550981,2.3745601630185167,0.45614035087719296,0.013299473684210524,0.38794130422435497,57,0
donchian_20_10,long_flat,trailing,XOM,45,0.5149133581223779,1.6234763470017382,-1.1085629888793602,2.6213113155797,0.4,0.011427999999999995,0.2897766904735212,45,0
donchian_20_10,long_flat,trailing,JNJ,50,0.1278350878986103,2.058300781064007,-1.9304656931653965,1.1211367543708937,0.4,0.0036494000000000006,0.23740360634941785,50,0
donchian_20_10,long_short,regime,GOOGL,99,-0.6790793605375562,13.0336470477322,-13.712726408269758,-1.6486211214586708,0.31313131313131315,-0.00837878787878788,0.7815185797546393,57,42
donchian_20_10,long_short,regime,XOM,87,0.12761194955029453,1.6234763470017382,-1.4958643974514436,0.8188456291353304,0.3333333333333333,0.003953678160919539,0.534297843248588,45,42
donchian_20_10,long_short,regime,JNJ,99,-0.5105526073232856,2.058300781064007,-2.5688533883872924,-1.9266956103668733,0.3434343434343434,-0.00601808080808081,0.640180179513096,50,49
donchian_20_10,long_short,trailing,GOOGL,99,-0.5104279524856095,13.0336470477322,-13.54407500021781,-0.8982287651093863,0.3434343434343434,-0.004392626262626262,0.7390392141185728,57,42
donchian_20_10,long_short,trailing,XOM,87,-0.08811871413336225,1.6234763470017382,-1.7115950611351005,0.17730600621258252,0.3563218390804598,0.0006871264367816092,0.5568028927284742,45,42
