strategy,direction,exit,avg_return,avg_excess,avg_sharpe,avg_win,avg_trades,avg_max_dd
ma_cross_50_200,long_flat,regime,2.5700637126298282,-3.001743582888425,7.181084374672115,0.45256410256410257,10.333333333333334,0.24919274709873493
tsmom_60,long_flat,regime,1.79624703558265,-3.7755602599356037,2.0884388722868072,0.3798414427499395,73.66666666666667,0.2950906873754908
ma_cross_20_100,long_flat,regime,1.7800001997220771,-3.7918070957961767,4.423545744204241,0.3501683501683502,19.333333333333332,0.22731437076931624
tsmom_120,long_flat,regime,1.278531812654043,-4.29327548286421,1.7864292316140815,0.3461970565105044,67.0,0.38688720008213767
tsmom_60,long_flat,trailing,0.9951718146821978,-4.576635480836056,2.149184049330677,0.4124606632776568,73.66666666666667,0.2356170650397188
donchian_55_20,long_flat,regime,0.6920799893719983,-4.879727306146255,3.6907722882517713,0.49615384615384617,24.0,0.2615557096074707
ma_cross_50_200,long_short,regime,0.5167209936821656,-5.055086301836088,1.4925212850464498,0.28250000000000003,20.333333333333332,0.5646247522118967
donchian_20_10,long_flat,regime,0.4956557033082807,-5.076151592209972,2.2558787729816525,0.4113840155945419,50.666666666666664,0.29249884350709987
donchian_20_10,long_flat,trailing,0.4587824493573595,-5.113024846160894,2.0390286675588,0.41871345029239765,50.666666666666664,0.3050405336824313
donchian_55_20,long_flat,trailing,0.36404366238058583,-5.2077636331376675,3.7694078825401434,0.4871794871794872,24.0,0.16954919372030272
tsmom_120,long_flat,trailing,0.24376095662266714,-5.328046338895587,0.6507425160533665,0.36990225817323896,67.0,0.2719103049982953
ma_cross_50_200,long_flat,trailing,0.18722218061418117,-5.384585114904072,1.3068999852231475,0.32756410256410257,10.333333333333334,0.15078588218969016
tsmom_60,long_short,regime,0.03347355420216935,-5.538333741316085,0.09880659668361659,0.3256581618154508,147.0,0.5055096221039225
ma_cross_20_100,long_flat,trailing,0.03293098080338982,-5.538876314714863,0.710215172393018,0.398989898989899,19.333333333333332,0.15538812949295636
tsmom_60,long_short,trailing,0.024694692222559156,-5.5471126032956946,0.20078116974138382,0.35780000405959483,147.0,0.482018885897831
ma_cross_20_100,long_short,regime,-0.020396059443661296,-5.592203354961915,-0.11039006292908704,0.25757575757575757,38.666666666666664,0.6115689978929765
ma_cross_50_200,long_short,trailing,-0.17246665205408637,-5.7442739475723394,-2.593094421566486,0.22999999999999998,20.333333333333332,0.3658615336993721
donchian_55_20,long_short,regime,-0.19227113827049622,-5.76407843378875,-0.4569224110093993,0.3646656534954407,43.0,0.5436676544308604
donchian_55_20,long_short,trailing,-0.20141976123589636,-5.773227056754149,-0.9592538133350587,0.3646149949341439,43.0,0.4412836327082305
ma_cross_20_100,long_short,trailing,-0.2931093333140304,-5.864916628832284,-2.1183373461664825,0.34680134680134683,38.666666666666664,0.4099335800956269
donchian_20_10,long_short,regime,-0.35020355832681965,-5.922010853845073,-0.8977317613517637,0.33113447399161683,94.66666666666667,0.6492004325528208
tsmom_120,long_short,regime,-0.3711485848722016,-5.942955880390454,-0.3907409474777628,0.2815069073650309,133.66666666666666,0.7192028130374343
donchian_20_10,long_short,trailing,-0.3858241253790209,-5.9576314208972745,-1.1229154665602288,0.338694237709016,94.66666666666667,0.6362673503682286
tsmom_120,long_short,trailing,-0.5704168081272201,-6.142224103645474,-2.053837491261865,0.31354352063734214,133.66666666666666,0.6569745658974434
