symbol,n_trades,n_long,n_short,agent_total_return,buy_hold_return,excess_return,sharpe_annual,win_rate,max_drawdown
GOOGL,42,26,16,-0.2719686269370981,13.0336470477322,-13.3056156746693,-0.4203229442875974,0.42857142857142855,0.4950708870950213
XOM,40,20,20,0.14728916401938918,1.6234763470017382,-1.476187182982349,1.283361799514299,0.325,0.514135492253899
JNJ,47,26,21,-0.44933666639917924,2.058300781064007,-2.507637447463186,-2.2080890970241085,0.3404255319148936,0.6198655591367769
