symbol,n_trades,n_long,n_short,agent_total_return,buy_hold_return,excess_return,sharpe_annual,win_rate,max_drawdown
GOOGL,92,46,46,-0.456767996815305,13.0336470477322,-13.490415044547506,-0.696674915478755,0.32608695652173914,0.6604388845014879
XOM,138,69,69,-0.7036341307180569,1.6234763470017382,-2.327110477719795,-3.1229914466618114,0.2753623188405797,0.7411865622582189
JNJ,171,86,85,-0.5508462769216885,2.058300781064007,-2.6091470579856955,-2.341800203540351,0.3391812865497076,0.5692947756334183
